link,category,name,img_url__001,brand,price,short_desc,img_url__002
https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-10000mah-sony-cp-v10b-wc,,Pin sạc dự phòng Polymer 10.000 mAh Sony CP-V10B-WC LA,https://cdn.tgdd.vn/Products/Images/57/169490/sac-du-phong-polymer-10000mah-sony-cp-v10b-wc-600x600.jpg,null,890000,,
https://www.thegioididong.com/cap-dien-thoai/cap-2-in-1-20cm-evalu-ltd-02,,Dây cáp 2 in 1 Lightning và Micro USB 0.2 m eValu LTD-02,https://cdn.tgdd.vn/Products/Images/58/88353/cap-2-in-1-20cm-evalu-ltd-02-12-600x600.jpg,null,100000,"Cáp 2 in 1 20cm eValu LTD-02 được trang bị đồng thời 2 đầu ra microUSB và Lightning, tương thích với hầu hết thiết bị hiện nay giúp tiết kiệm tối đa chi phí người dùng.",
https://www.thegioididong.com/mieng-dan-man-hinh/mieng-dan-man-hinh-zenfone-4-max-pro,,Miếng dán màn hình Zenfone 4 Max Pro,https://cdn.tgdd.vn/Products/Images/1363/146018/mieng-dan-man-hinh-zenfone-4-max-pro-avatar-1-600x600.jpg,null,50000,,
https://www.thegioididong.com/cap-dien-thoai/cap-3-dau-lightning-type-c-micro-1m-ap03-1000,,Cáp 3 đầu Lightning Type-C Micro 1 m Xmobile AP03-1000,https://cdn.tgdd.vn/Products/Images/58/188453/cap-3-dau-lightning-type-c-micro-1m-ap03-1000-1-fixx1-600x600.jpg,null,150000,Dây cáp 3 đầu Lightning Type-C Micro giúp người dùng tiết kiệm chi phí khi chỉ cần 1 dây cáp là có thể dùng cho 3 máy khác nhau.,
https://www.thegioididong.com/cap-dien-thoai/cap-2-in-1-iphone-5-micro-x-mobile,,Dây cáp 2 in 1 Lightning và Micro USB 0.8 m Xmobile,https://cdn.tgdd.vn/Products/Images/58/74785/cap-2-in-1-iphone-5-micro-x-mobile-3-300x300.jpg,null,100000,"Cáp sạc 2 trong 1 Micro USB & iPhone 5 XMobile có thiết kế 2 trong 1 tiện lợi, 2 đầu ra tương thích cho các thiết bị Android/ IOS để truyền dữ liệu qua kết nối USB 2.0, giúp tiết kiệm tối đa chi phí của người dùng.",
https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-8700mah-sony-cp-v9-bc-ula,,Pin sạc dự phòng Polymer 8.700 mAh Sony CP-V9/BC ULA,https://cdn.tgdd.vn/Products/Images/57/140801/sac-du-phong-polymer-8700mah-sony-cp-v9-bc-ula-ava-600x600-1-600x600.jpg,null,890000,,
https://www.thegioididong.com/mieng-dan-man-hinh/mieng-dan-man-hinh-galaxy-j7-pro,,Miếng dán màn hình Galaxy J7 Pro,https://cdn.tgdd.vn/Products/Images/1363/105292/mieng-dan-man-hinh-galaxy-j7-pro-avatar-1-600x600.jpg,null,50000,,
https://www.thegioididong.com/sac-dtdd/pin-sac-du-phong-10000mah-xiaomi-redmi-type-c,,Pin sạc dự phòng Polymer 10.000mAh Xiaomi Redmi Type C VXN4286GL Trắng,https://cdn.tgdd.vn/Products/Images/57/226703/pin-sac-du-phong-10000mah-xiaomi-redmi-type-c-1-600x600.jpg,null,490000,,
https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-sony-extra-bass-mdr-xb50bs,,Tai nghe Bluetooth Sony Extra Bass MDR-XB50BS,https://cdn.tgdd.vn/Products/Images/54/106998/tai-nghe-bluetooth-sony-mdr-xb50bs-avatar-1-600x600-600x600.jpg,null,1690000,,
https://www.thegioididong.com/sac-dtdd/pin-du-phong-polymer-10000mah-aukey-pb-n42-trang,,Pin sạc dự phòng Polymer 10.000 mAh Aukey PB-N42 Trắng,https://cdn.tgdd.vn/Products/Images/57/203362/pin-du-phong-polymer-10000mah-aukey-pb-n42-trang-1-600x600.jpg,null,590000,,
